trip_id,pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_duration_minutes,trip_distance_miles,pickup_zone,dropoff_zone,traffic_level,weather_condition,trip_type,surge_multiplier,fare_amount
TRIP_00350,2024-03-24 19:14:00,40.816999,-73.956075,40.81927,-73.957839,1,2,0.18,harlem,harlem,heavy,clear,standard,1.09,28.05
TRIP_00351,2024-01-17 20:52:00,40.780887,-73.985325,40.786401,-73.989168,1,2,0.43,upper_west,upper_west,moderate,rain,standard,1.92,43.08
TRIP_00352,2024-06-28 09:41:00,40.781663,-73.975396,40.782819,-73.980676,1,2,0.29,upper_west,upper_west,moderate,rain,standard,2.37,62.62
TRIP_00353,2024-01-30 04:02:00,40.701138,-73.997004,40.776627,-73.976487,1,12.8,5.33,financial_district,upper_west,light,snow,standard,2.4,143.87
TRIP_00354,2024-05-06 03:06:00,40.761691,-73.970614,40.751241,-73.983214,2,2.3,0.98,midtown,midtown,light,clear,luxury,1.14,54.14
TRIP_00355,2024-05-17 04:24:00,40.772303,-73.972335,40.777745,-73.976806,1,2,0.44,upper_west,upper_west,light,rain,airport,2.41,120.24
TRIP_00356,2024-04-04 21:47:00,40.803029,-73.950452,40.811635,-73.951971,1,2,0.6,harlem,harlem,light,clear,standard,1.22,16.07
TRIP_00357,2024-05-18 13:37:00,40.811047,-73.948095,40.76154,-73.98309,1,11.6,3.88,harlem,midtown,moderate,clear,standard,1.91,71.84
TRIP_00358,2024-04-16 20:06:00,40.772869,-73.986971,40.781914,-73.988388,1,2.8,0.63,upper_west,upper_west,heavy,rain,airport,1.12,65.9
TRIP_00359,2024-06-06 13:17:00,40.716573,-73.996496,40.718818,-74.01627,1,3.1,1.05,financial_district,financial_district,moderate,fog,standard,1.01,21.46
TRIP_00360,2024-06-25 11:13:00,40.781613,-73.971281,40.779626,-73.973806,5,2,0.19,upper_west,upper_west,heavy,clear,standard,1.24,27.59
TRIP_00361,2024-04-23 07:54:00,40.778797,-73.957121,40.771091,-73.958011,1,3.2,0.53,upper_east,upper_east,severe,clear,standard,1.07,46.56
TRIP_00362,2024-01-26 21:23:00,40.73176,-73.992938,40.781094,-73.953481,1,12.0,3.99,downtown,upper_east,moderate,snow,standard,2.44,118.91
TRIP_00363,2024-01-16 12:17:00,40.75441,-73.977487,40.753697,-73.988808,1,2,0.59,midtown,midtown,moderate,snow,standard,2.0,56.69
TRIP_00364,2024-02-01 14:05:00,40.803267,-73.956311,40.807734,-73.958977,1,2,0.34,harlem,harlem,light,rain,standard,2.26,33.65
TRIP_00365,2024-02-24 20:40:00,40.721241,-73.998577,40.73132,-73.982439,1,3.3,1.1,downtown,downtown,moderate,fog,standard,1.04,23.74
TRIP_00366,2024-01-06 01:50:00,40.782911,-73.969088,40.766843,-73.984068,1,3.3,1.36,upper_east,midtown,light,clear,standard,1.52,46.59
TRIP_00367,2024-02-02 18:13:00,40.71979,-73.999471,40.802851,-73.952357,1,28.1,6.25,financial_district,harlem,heavy,clear,standard,1.96,172.56
TRIP_00368,2024-02-23 18:13:00,40.758309,-73.98952,40.753542,-73.988032,2,2.0,0.34,midtown,midtown,severe,rain,standard,1.59,78.53
TRIP_00369,2024-03-25 04:50:00,40.723581,-73.98405,40.730939,-73.990498,1,2,0.61,downtown,downtown,moderate,clear,standard,1.23,25.04
TRIP_00370,2024-01-01 08:54:00,40.767486,-73.973388,40.757987,-73.981807,2,4.7,0.79,midtown,midtown,severe,clear,standard,2.1,100.57
TRIP_00371,2024-02-03 17:16:00,40.766652,-73.973917,40.701192,-73.999238,1,14.1,4.71,midtown,financial_district,moderate,clear,standard,1.78,119.2
TRIP_00372,2024-06-18 00:08:00,40.713509,-74.00812,40.703175,-73.991522,6,3.4,1.13,financial_district,financial_district,moderate,fog,standard,1.11,29.33
TRIP_00373,2024-04-01 07:37:00,40.778368,-73.962844,40.781512,-73.966771,1,2,0.3,upper_east,upper_east,heavy,clear,standard,2.11,64.82
TRIP_00374,2024-01-05 05:16:00,40.715604,-74.003083,40.713899,-74.002978,1,2,0.12,financial_district,financial_district,light,snow,standard,1.2,28.37
TRIP_00375,2024-02-02 23:26:00,40.731986,-73.989726,40.720129,-73.990075,1,2,0.82,downtown,downtown,light,snow,standard,2.41,59.82
TRIP_00376,2024-01-30 23:04:00,40.771828,-73.977486,40.778147,-73.979572,1,2,0.45,upper_west,upper_west,moderate,clear,airport,1.17,52.66
TRIP_00377,2024-04-24 11:32:00,40.736203,-73.991407,40.718261,-74.002836,1,3.3,1.38,downtown,financial_district,light,clear,standard,1.09,21.44
TRIP_00378,2024-04-25 16:14:00,40.72853,-73.987692,40.721756,-73.996563,1,2,0.66,downtown,downtown,moderate,clear,standard,1.24,19.54
TRIP_00379,2024-01-12 23:50:00,40.813378,-73.944027,40.720403,-73.996924,1,21.0,7.0,harlem,downtown,moderate,clear,standard,1.68,108.16
TRIP_00380,2024-03-18 14:41:00,40.714403,-74.011383,40.750984,-73.985378,1,8.6,2.87,financial_district,midtown,moderate,clear,standard,1.26,38.47
TRIP_00381,2024-05-02 12:27:00,40.804781,-73.944839,40.706252,-74.00768,1,18.2,7.56,harlem,financial_district,light,fog,shared,1.09,39.78
TRIP_00382,2024-05-05 22:58:00,40.783833,-73.970687,40.772614,-73.976566,1,2.0,0.83,upper_west,upper_west,light,clear,standard,1.09,26.06
TRIP_00383,2024-01-19 02:20:00,40.734904,-73.995356,40.725383,-73.996027,1,2,0.66,downtown,downtown,light,fog,standard,1.9,37.97
TRIP_00384,2024-02-07 02:08:00,40.789126,-73.962466,40.771249,-73.960277,1,3.0,1.24,upper_east,upper_east,light,clear,airport,1.26,56.95
TRIP_00385,2024-06-08 20:37:00,40.737145,-73.984707,40.733806,-73.9811,1,2,0.3,downtown,downtown,moderate,clear,standard,1.51,25.73
TRIP_00386,2024-03-24 12:38:00,40.736048,-73.982772,40.739048,-73.993424,2,2,0.6,downtown,downtown,moderate,rain,shared,1.47,25.35
TRIP_00387,2024-03-16 14:32:00,40.734101,-73.98516,40.725046,-73.982539,2,2,0.64,downtown,downtown,light,clear,standard,1.85,30.93
TRIP_00388,2024-04-20 03:50:00,40.816729,-73.949022,40.814408,-73.949778,2,2,0.17,harlem,harlem,light,clear,airport,1.71,60.66
TRIP_00389,2024-01-30 20:41:00,40.73342,-73.98606,40.737586,-73.985493,3,2,0.29,downtown,downtown,light,clear,standard,1.29,17.97
TRIP_00390,2024-02-25 13:28:00,40.755411,-73.985024,40.725965,-73.98449,1,4.9,2.04,midtown,downtown,light,clear,standard,1.29,38.96
TRIP_00391,2024-03-27 14:25:00,40.776882,-73.979589,40.787598,-73.97989,5,2.2,0.74,upper_west,upper_west,moderate,clear,standard,1.02,19.84
TRIP_00392,2024-01-25 10:27:00,40.778303,-73.961556,40.773914,-73.973595,1,2.1,0.7,upper_east,upper_west,moderate,clear,standard,1.23,27.68
TRIP_00393,2024-04-05 04:43:00,40.781921,-73.970085,40.788414,-73.9831,1,2,0.82,upper_west,upper_west,light,clear,standard,1.0,21.51
TRIP_00394,2024-01-18 02:53:00,40.714846,-74.014966,40.701352,-73.998279,1,3.8,1.28,financial_district,financial_district,moderate,clear,standard,1.1,26.94
TRIP_00395,2024-01-24 13:06:00,40.814374,-73.957788,40.819887,-73.955345,1,2,0.4,harlem,harlem,light,clear,standard,1.24,15.87
TRIP_00396,2024-04-05 04:35:00,40.713512,-74.004733,40.817321,-73.959802,5,18.1,7.55,financial_district,harlem,light,clear,standard,1.99,110.28
TRIP_00397,2024-05-23 17:21:00,40.810768,-73.940157,40.701947,-73.998809,1,36.6,8.12,harlem,financial_district,heavy,clear,standard,2.23,225.5
TRIP_00398,2024-04-15 11:55:00,40.800012,-73.953844,40.804671,-73.958636,1,2,0.41,harlem,harlem,light,clear,standard,1.11,14.9
TRIP_00399,2024-04-18 23:03:00,40.779859,-73.963397,40.789068,-73.968795,1,2,0.7,upper_east,upper_east,light,clear,standard,1.23,25.95
TRIP_00400,2024-06-02 09:22:00,40.702477,-74.017884,40.803803,-73.943575,4,36.0,8.01,financial_district,harlem,heavy,clear,standard,2.29,270.26
TRIP_00401,2024-05-09 06:09:00,40.800265,-73.949764,40.788696,-73.971816,1,4.2,1.4,harlem,upper_west,moderate,rain,standard,1.43,35.99
TRIP_00402,2024-02-27 03:22:00,40.730891,-73.996802,40.723351,-73.993794,2,2,0.54,downtown,downtown,light,snow,standard,1.23,30.02
TRIP_00403,2024-04-04 03:48:00,40.777547,-73.96173,40.77548,-73.950887,1,2,0.59,upper_east,upper_east,moderate,clear,standard,1.12,27.48
TRIP_00404,2024-05-26 07:51:00,40.78527,-73.987826,40.807632,-73.944495,1,12.3,2.74,upper_west,harlem,heavy,rain,standard,2.41,195.42
TRIP_00405,2024-06-08 19:43:00,40.812509,-73.943835,40.806696,-73.953726,1,2.9,0.66,harlem,harlem,heavy,clear,standard,2.22,67.27
TRIP_00406,2024-05-22 00:38:00,40.803934,-73.95525,40.812856,-73.947981,2,2,0.72,harlem,harlem,light,clear,standard,1.14,19.41
TRIP_00407,2024-06-26 08:01:00,40.752197,-73.972326,40.763677,-73.989493,1,5.4,1.2,midtown,midtown,heavy,clear,standard,1.36,56.59
TRIP_00408,2024-03-10 22:48:00,40.772943,-73.96404,40.788217,-73.969879,1,2.6,1.1,upper_east,upper_east,light,clear,shared,1.05,22.0
TRIP_00409,2024-03-27 11:00:00,40.764831,-73.979066,40.78108,-73.959309,3,3.7,1.53,midtown,upper_east,light,clear,standard,1.11,27.78
TRIP_00410,2024-05-24 21:25:00,40.719041,-73.997862,40.717618,-74.018512,1,2.6,1.09,financial_district,financial_district,light,clear,standard,1.92,32.99
TRIP_00411,2024-02-06 23:40:00,40.719231,-74.006654,40.707033,-73.992714,2,2.7,1.12,financial_district,financial_district,light,snow,standard,1.65,49.7
TRIP_00412,2024-01-24 23:33:00,40.765879,-73.97118,40.764833,-73.973898,1,2,0.16,midtown,midtown,moderate,clear,standard,1.2,28.27
TRIP_00413,2024-04-06 13:29:00,40.77714,-73.957305,40.784987,-73.959086,2,2,0.55,upper_east,upper_east,light,clear,standard,1.22,25.7
TRIP_00414,2024-02-10 11:19:00,40.819143,-73.951458,40.817959,-73.949499,1,2,0.13,harlem,harlem,moderate,clear,standard,1.21,18.07
TRIP_00415,2024-03-24 18:38:00,40.719546,-74.012729,40.716782,-74.00348,1,2,0.52,financial_district,financial_district,moderate,rain,standard,2.15,68.97
TRIP_00416,2024-01-14 04:10:00,40.726833,-73.987031,40.737948,-73.997612,1,2.3,0.95,downtown,downtown,light,snow,standard,1.71,53.29
TRIP_00417,2024-01-13 21:05:00,40.787393,-73.968237,40.736951,-73.996364,2,11.4,3.78,upper_east,downtown,moderate,clear,standard,1.64,68.49
TRIP_00418,2024-06-18 13:31:00,40.72083,-73.993559,40.737159,-73.986661,2,3.6,1.18,downtown,downtown,moderate,fog,shared,1.16,17.69
TRIP_00419,2024-04-23 13:17:00,40.764522,-73.987574,40.760649,-73.978712,1,2,0.54,midtown,midtown,moderate,clear,standard,1.29,27.37
TRIP_00420,2024-05-11 03:22:00,40.785244,-73.978166,40.783334,-73.977532,1,2,0.14,upper_west,upper_west,light,clear,standard,1.52,31.65
TRIP_00421,2024-01-29 09:43:00,40.803716,-73.958301,40.813166,-73.951246,1,2.3,0.75,harlem,harlem,moderate,rain,shared,2.38,43.52
TRIP_00422,2024-05-31 15:33:00,40.814743,-73.959266,40.806726,-73.941589,2,2.6,1.08,harlem,harlem,light,clear,standard,1.09,17.04
TRIP_00423,2024-03-19 01:14:00,40.782284,-73.985268,40.778583,-73.988502,1,2,0.31,upper_west,upper_west,light,rain,standard,1.76,41.26
TRIP_00424,2024-06-02 01:00:00,40.761536,-73.987616,40.751055,-73.973317,1,2.5,1.04,midtown,midtown,light,clear,airport,1.08,57.15
TRIP_00425,2024-03-18 06:49:00,40.758982,-73.978448,40.756649,-73.983689,1,2,0.32,midtown,midtown,light,clear,standard,1.29,24.31
TRIP_00426,2024-03-06 09:20:00,40.712016,-73.998974,40.712615,-74.006331,1,2,0.39,financial_district,financial_district,heavy,rain,standard,2.39,78.14
TRIP_00427,2024-01-02 15:47:00,40.788256,-73.977793,40.774995,-73.983134,1,2.9,0.96,upper_west,upper_west,moderate,rain,standard,1.02,25.78
TRIP_00428,2024-02-14 04:24:00,40.732064,-73.998406,40.738651,-73.988487,2,2,0.69,downtown,downtown,light,rain,standard,2.32,50.14
TRIP_00429,2024-06-29 07:32:00,40.73247,-73.997374,40.724036,-73.981823,1,4.5,1.0,downtown,downtown,heavy,clear,standard,2.13,78.28
TRIP_00430,2024-06-20 11:04:00,40.782332,-73.989193,40.779371,-73.987041,1,2,0.23,upper_west,upper_west,heavy,clear,standard,1.23,27.83
TRIP_00431,2024-01-11 13:01:00,40.77042,-73.989311,40.786333,-73.972295,3,3.4,1.42,upper_west,upper_west,light,rain,standard,2.24,51.42
TRIP_00432,2024-01-20 10:36:00,40.785028,-73.971173,40.777268,-73.971236,2,2,0.54,upper_west,upper_west,light,clear,standard,1.93,35.86
TRIP_00433,2024-05-26 12:45:00,40.814771,-73.958724,40.805655,-73.95391,2,3.1,0.68,harlem,harlem,heavy,rain,luxury,1.57,91.39
TRIP_00434,2024-04-16 09:07:00,40.787391,-73.986387,40.704375,-74.010213,1,26.4,5.87,upper_west,financial_district,heavy,clear,standard,2.11,179.68
TRIP_00435,2024-03-24 05:51:00,40.725999,-73.990514,40.727096,-73.992,3,2,0.11,downtown,downtown,light,clear,standard,1.18,21.87
TRIP_00436,2024-04-27 22:58:00,40.784022,-73.961785,40.770147,-73.956166,1,2.4,1.0,upper_east,upper_east,light,clear,luxury,1.42,75.02
TRIP_00437,2024-01-23 13:54:00,40.714345,-74.002538,40.787287,-73.960862,4,16.5,5.49,financial_district,upper_east,moderate,clear,standard,1.02,45.58
TRIP_00438,2024-04-21 18:25:00,40.721375,-73.989006,40.737555,-73.99592,1,7.1,1.18,downtown,downtown,severe,clear,luxury,1.77,174.26
TRIP_00439,2024-01-21 12:55:00,40.787157,-73.963902,40.772581,-73.964043,1,3.0,1.01,upper_east,upper_east,moderate,clear,standard,1.1,28.37
TRIP_00440,2024-03-27 07:21:00,40.769762,-73.980295,40.767823,-73.980793,1,2,0.14,midtown,midtown,heavy,fog,standard,2.08,74.47
TRIP_00441,2024-01-20 16:40:00,40.700787,-74.019345,40.802689,-73.950646,1,23.7,7.91,financial_district,harlem,moderate,clear,standard,1.01,65.02
TRIP_00442,2024-05-10 06:57:00,40.778657,-73.959289,40.777784,-73.952252,1,2,0.37,upper_east,upper_east,moderate,clear,shared,1.96,28.16
TRIP_00443,2024-03-30 23:52:00,40.805574,-73.940823,40.811597,-73.954349,6,2,0.82,harlem,harlem,light,clear,standard,1.58,29.64
TRIP_00444,2024-02-07 07:06:00,40.758791,-73.979791,40.756329,-73.988261,4,2.1,0.47,midtown,midtown,heavy,fog,standard,1.86,73.9
TRIP_00445,2024-03-06 06:11:00,40.736214,-73.981033,40.723229,-73.980785,1,2.7,0.9,downtown,downtown,moderate,clear,standard,1.21,29.56
TRIP_00446,2024-02-09 20:04:00,40.75575,-73.979236,40.758113,-73.986617,1,2,0.42,midtown,midtown,heavy,snow,standard,1.34,50.11
TRIP_00447,2024-06-09 15:29:00,40.730303,-73.980194,40.727419,-73.984557,1,2,0.3,downtown,downtown,light,clear,standard,1.23,19.54
TRIP_00448,2024-05-28 14:43:00,40.73153,-73.993159,40.804766,-73.955512,1,16.3,5.43,downtown,harlem,moderate,clear,standard,1.15,53.6
TRIP_00449,2024-03-23 20:20:00,40.761424,-73.972731,40.761384,-73.97264,1,2,0.01,midtown,midtown,moderate,rain,standard,1.69,44.34
TRIP_00450,2024-04-22 02:30:00,40.77488,-73.970665,40.774953,-73.963039,1,2,0.4,upper_west,upper_east,moderate,fog,standard,1.16,31.66
TRIP_00451,2024-03-11 18:03:00,40.784729,-73.968967,40.777726,-73.962931,1,2.6,0.58,upper_east,upper_east,heavy,clear,standard,1.46,51.69
TRIP_00452,2024-05-09 02:19:00,40.778894,-73.978469,40.724832,-73.986374,1,9.0,3.76,upper_west,downtown,light,rain,standard,1.1,49.68
TRIP_00453,2024-01-10 01:23:00,40.774219,-73.953168,40.786876,-73.960793,4,2.3,0.96,upper_east,upper_east,light,clear,standard,1.06,23.81
TRIP_00454,2024-01-20 20:55:00,40.710896,-74.016231,40.704775,-74.013594,1,2,0.45,financial_district,financial_district,moderate,snow,standard,1.59,50.73
TRIP_00455,2024-06-06 19:32:00,40.786003,-73.985167,40.776338,-73.984664,3,3.0,0.67,upper_west,upper_west,heavy,rain,airport,1.54,120.86
TRIP_00456,2024-04-28 18:35:00,40.801218,-73.945969,40.808184,-73.953412,1,2.8,0.62,harlem,harlem,heavy,rain,airport,1.44,108.04
TRIP_00457,2024-01-11 14:58:00,40.733858,-73.980253,40.733246,-73.987806,2,2,0.4,downtown,downtown,heavy,clear,standard,1.08,21.9
TRIP_00458,2024-06-15 06:20:00,40.731586,-73.98222,40.732634,-73.989625,1,2,0.39,downtown,downtown,light,clear,standard,1.18,19.07
TRIP_00459,2024-05-01 16:09:00,40.705162,-74.00608,40.718555,-73.993969,2,3.4,1.12,financial_district,financial_district,moderate,clear,airport,1.23,46.06
TRIP_00460,2024-04-25 03:51:00,40.786686,-73.958453,40.779167,-73.959426,1,2,0.52,upper_east,upper_east,light,rain,standard,1.44,36.63
TRIP_00461,2024-01-22 16:41:00,40.763833,-73.9741,40.752086,-73.98709,1,3.2,1.06,midtown,midtown,moderate,rain,standard,1.97,56.37
TRIP_00462,2024-01-11 07:45:00,40.782521,-73.988494,40.770986,-73.98485,1,2.5,0.82,upper_west,upper_west,moderate,clear,shared,1.92,37.5
TRIP_00463,2024-04-22 16:33:00,40.72225,-73.985282,40.732782,-73.993181,1,3.8,0.84,downtown,downtown,heavy,clear,shared,1.01,17.94
TRIP_00464,2024-02-10 11:23:00,40.786728,-73.950511,40.721306,-73.983563,1,14.5,4.84,upper_east,downtown,moderate,rain,standard,2.47,149.85
TRIP_00465,2024-04-14 10:43:00,40.720799,-73.992754,40.71403,-74.00622,1,2.0,0.85,downtown,financial_district,light,clear,shared,1.19,17.64
TRIP_00466,2024-06-10 20:21:00,40.701321,-73.990823,40.709557,-74.009341,2,3.4,1.12,financial_district,financial_district,moderate,clear,standard,1.09,21.0
TRIP_00467,2024-03-25 03:35:00,40.800796,-73.948046,40.787817,-73.981019,2,4.7,1.94,harlem,upper_west,light,clear,airport,1.07,50.16
TRIP_00468,2024-03-13 08:46:00,40.817542,-73.955136,40.80385,-73.957962,2,5.7,0.96,harlem,harlem,severe,rain,standard,2.27,103.07
TRIP_00469,2024-06-03 04:21:00,40.71093,-74.017259,40.811649,-73.956268,1,18.4,7.66,financial_district,harlem,light,clear,standard,1.25,65.94
TRIP_00470,2024-06-18 04:58:00,40.781455,-73.95361,40.776992,-73.958073,2,2,0.39,upper_east,upper_east,light,clear,standard,1.17,24.79
TRIP_00471,2024-03-20 20:44:00,40.804118,-73.95295,40.802597,-73.946476,1,2,0.35,harlem,harlem,moderate,fog,standard,1.03,16.61
TRIP_00472,2024-04-10 04:38:00,40.812366,-73.944371,40.716689,-74.018314,1,18.4,7.66,harlem,financial_district,light,rain,standard,1.47,95.85
TRIP_00473,2024-03-20 17:24:00,40.811596,-73.95667,40.773518,-73.965292,1,12.0,2.67,harlem,upper_east,heavy,fog,standard,2.14,117.76
TRIP_00474,2024-02-02 21:44:00,40.802932,-73.947081,40.803135,-73.946331,1,2,0.04,harlem,harlem,moderate,snow,standard,1.61,31.21
TRIP_00475,2024-06-24 16:05:00,40.805896,-73.952909,40.805046,-73.941694,1,2,0.59,harlem,harlem,light,rain,standard,2.36,42.87
TRIP_00476,2024-06-20 13:32:00,40.779058,-73.951086,40.776032,-73.966234,1,2,0.82,upper_east,upper_east,light,clear,standard,1.13,21.26
TRIP_00477,2024-01-05 11:19:00,40.752606,-73.977131,40.751952,-73.986663,1,2.3,0.5,midtown,midtown,heavy,snow,standard,1.81,69.56
TRIP_00478,2024-02-24 10:49:00,40.782575,-73.984678,40.779111,-73.972181,6,2.1,0.7,upper_west,upper_west,moderate,snow,standard,2.04,69.55
TRIP_00479,2024-02-19 07:08:00,40.769712,-73.976266,40.765971,-73.987859,1,3.0,0.66,midtown,midtown,heavy,fog,standard,1.65,66.21
TRIP_00480,2024-01-20 09:54:00,40.715243,-73.991915,40.803496,-73.942505,1,29.8,6.63,financial_district,harlem,heavy,clear,standard,2.37,253.93
TRIP_00481,2024-05-18 23:56:00,40.725143,-73.985612,40.727506,-73.987465,1,2,0.19,downtown,downtown,light,rain,standard,1.61,36.16
TRIP_00482,2024-01-10 21:21:00,40.720338,-73.981809,40.736394,-73.980013,2,2.7,1.11,downtown,downtown,light,clear,shared,1.27,15.62
TRIP_00483,2024-02-03 19:24:00,40.752715,-73.970451,40.773275,-73.964012,2,4.4,1.46,midtown,upper_east,moderate,clear,standard,1.13,52.3
TRIP_00484,2024-02-16 22:49:00,40.732594,-73.991677,40.739724,-73.983583,1,2,0.65,downtown,downtown,light,clear,standard,1.58,28.91
TRIP_00485,2024-02-12 23:28:00,40.716859,-74.006623,40.734637,-73.996521,1,3.2,1.34,financial_district,downtown,light,rain,standard,1.8,55.31
TRIP_00486,2024-04-03 21:46:00,40.766321,-73.981359,40.731908,-73.982268,1,7.1,2.38,midtown,downtown,moderate,rain,standard,1.22,44.87
TRIP_00487,2024-06-05 09:48:00,40.817471,-73.955271,40.814721,-73.9536,4,2,0.21,harlem,harlem,heavy,clear,airport,2.3,114.49
TRIP_00488,2024-04-24 07:34:00,40.752878,-73.989828,40.761732,-73.980892,1,3.5,0.77,midtown,midtown,heavy,clear,standard,1.66,64.19
TRIP_00489,2024-03-20 15:57:00,40.766263,-73.978231,40.754734,-73.977439,1,2.4,0.8,midtown,midtown,moderate,clear,airport,1.2,49.91
TRIP_00490,2024-04-04 21:36:00,40.774085,-73.977464,40.789913,-73.980396,3,3.3,1.1,upper_west,upper_west,moderate,clear,airport,1.14,46.65
TRIP_00491,2024-04-28 09:49:00,40.779847,-73.986154,40.774916,-73.971703,1,3.7,0.83,upper_west,upper_west,heavy,fog,standard,1.81,76.42
TRIP_00492,2024-05-08 16:26:00,40.751983,-73.977541,40.76556,-73.985591,3,2.5,1.03,midtown,midtown,light,clear,standard,1.13,22.9
TRIP_00493,2024-02-21 19:08:00,40.789692,-73.956672,40.781716,-73.96781,1,4.8,0.8,upper_east,upper_east,severe,clear,standard,2.08,97.62
TRIP_00494,2024-01-14 20:30:00,40.78229,-73.952151,40.776618,-73.965034,2,3.5,0.78,upper_east,upper_east,heavy,clear,standard,1.06,33.05
TRIP_00495,2024-05-21 03:45:00,40.728223,-73.995313,40.737588,-73.980688,1,2.4,1.0,downtown,downtown,light,clear,standard,1.25,23.09
TRIP_00496,2024-02-01 09:05:00,40.765802,-73.977674,40.762451,-73.983822,2,2,0.4,midtown,midtown,heavy,snow,standard,2.42,115.87
TRIP_00497,2024-03-10 14:57:00,40.729678,-73.982049,40.751748,-73.97127,1,4.9,1.63,downtown,midtown,moderate,rain,airport,2.28,141.82
TRIP_00498,2024-04-21 02:58:00,40.750997,-73.987002,40.761516,-73.977097,1,2.1,0.89,midtown,midtown,light,fog,standard,1.0,30.3
TRIP_00499,2024-04-25 11:59:00,40.713319,-73.99532,40.71084,-74.006213,2,2,0.6,financial_district,financial_district,moderate,clear,standard,1.23,21.35
TRIP_00500,2024-04-16 01:25:00,40.732965,-73.996552,40.782262,-73.966856,1,11.2,3.75,downtown,upper_east,moderate,clear,standard,1.08,44.45
TRIP_00501,2024-03-01 12:05:00,40.789579,-73.959963,40.78507,-73.967351,1,2,0.5,upper_east,upper_east,moderate,clear,standard,1.85,37.19
TRIP_00502,2024-02-27 00:20:00,40.701814,-74.012119,40.772578,-73.9756,1,12.6,5.25,financial_district,upper_west,light,rain,standard,1.35,71.03
TRIP_00503,2024-02-07 04:02:00,40.784273,-73.952526,40.787332,-73.958128,1,2,0.36,upper_east,upper_east,light,clear,standard,1.23,24.47
TRIP_00504,2024-04-30 22:53:00,40.766293,-73.971277,40.769006,-73.979286,1,2,0.46,midtown,midtown,light,rain,standard,1.74,47.62
TRIP_00505,2024-06-29 15:28:00,40.72807,-73.993334,40.731455,-73.995233,1,2,0.25,downtown,downtown,moderate,clear,standard,1.24,22.41
TRIP_00506,2024-01-02 02:01:00,40.773377,-73.960787,40.770703,-73.963537,1,2,0.23,upper_east,upper_east,light,rain,standard,2.45,58.74
TRIP_00507,2024-02-25 04:35:00,40.804869,-73.950845,40.72412,-73.985814,2,14.1,5.87,harlem,downtown,light,clear,standard,1.17,57.33
TRIP_00508,2024-05-15 13:07:00,40.771046,-73.952949,40.787488,-73.962949,3,3.8,1.25,upper_east,upper_east,moderate,clear,standard,1.05,24.01
TRIP_00509,2024-03-01 09:07:00,40.70392,-73.991687,40.777525,-73.951534,2,24.8,5.5,financial_district,upper_east,heavy,clear,standard,2.48,198.25
TRIP_00510,2024-04-17 20:50:00,40.72104,-73.997727,40.739989,-73.983955,1,4.5,1.5,downtown,downtown,moderate,clear,standard,1.09,21.89
TRIP_00511,2024-04-27 02:07:00,40.780793,-73.98845,40.772047,-73.98179,2,2.1,0.7,upper_west,upper_west,moderate,rain,standard,1.54,46.82
TRIP_00512,2024-06-01 17:01:00,40.815663,-73.956638,40.809747,-73.947498,1,3.8,0.63,harlem,harlem,severe,clear,standard,1.09,41.18
TRIP_00513,2024-05-11 18:15:00,40.814867,-73.945533,40.816722,-73.956904,1,2.7,0.61,harlem,harlem,heavy,clear,standard,1.73,58.21
TRIP_00514,2024-02-06 09:27:00,40.701119,-74.015735,40.712517,-74.018365,1,4.8,0.8,financial_district,financial_district,severe,rain,standard,1.26,60.15
TRIP_00515,2024-06-06 11:15:00,40.73187,-73.995798,40.739402,-73.99956,1,2,0.56,downtown,downtown,moderate,rain,standard,1.22,23.88
TRIP_00516,2024-04-16 05:42:00,40.815655,-73.94125,40.803117,-73.955131,1,3.4,1.13,harlem,harlem,moderate,clear,standard,1.12,24.26
TRIP_00517,2024-01-22 16:23:00,40.701808,-73.991564,40.706744,-74.007932,1,2.2,0.92,financial_district,financial_district,light,clear,standard,1.11,18.82
TRIP_00518,2024-05-14 17:32:00,40.723068,-73.992669,40.723028,-73.984031,1,2.0,0.45,downtown,downtown,heavy,clear,standard,1.94,56.66
TRIP_00519,2024-05-21 00:24:00,40.785614,-73.982195,40.788227,-73.978918,2,2,0.25,upper_west,upper_west,light,clear,standard,1.2,23.34
TRIP_00520,2024-01-12 20:24:00,40.788396,-73.968103,40.78481,-73.954861,2,2.2,0.74,upper_east,upper_east,moderate,clear,standard,1.09,22.02
TRIP_00521,2024-03-05 23:01:00,40.77675,-73.969638,40.780998,-73.957608,1,2,0.69,upper_east,upper_east,light,rain,standard,2.28,64.08
TRIP_00522,2024-01-18 11:15:00,40.816851,-73.949982,40.701948,-74.010908,3,25.7,8.56,harlem,financial_district,moderate,clear,standard,1.16,65.11
TRIP_00523,2024-05-28 23:48:00,40.775113,-73.962709,40.753899,-73.973463,2,3.8,1.57,upper_east,midtown,light,rain,standard,1.85,64.79
TRIP_00524,2024-01-12 11:34:00,40.789332,-73.960956,40.777789,-73.950966,3,2.3,0.95,upper_east,upper_east,light,snow,standard,1.12,30.37
TRIP_00525,2024-06-13 05:53:00,40.815658,-73.951147,40.815558,-73.952353,1,2,0.06,harlem,harlem,light,clear,standard,1.24,17.76
TRIP_00526,2024-04-28 22:30:00,40.813415,-73.954611,40.818668,-73.945529,1,2,0.6,harlem,harlem,light,rain,standard,1.76,39.58
